,title,deal_rating,mileage,price,stock_type,location
1364,2015 Dodge Journey SE,Good Deal,"121,265 mi.","$9,900",Used,"Rutland, VT"
1365,2019 Lexus IS 300 Base,Fair Deal,"69,974 mi.","$29,995",Used,"Honolulu, HI"
1366,2005 Porsche Boxster Base (M5),Great Deal,"81,371 mi.","$14,500
$1,000 price drop",Used,"Broken Arrow, OK"
1367,2020 RAM 1500 Classic SLT,Good Deal,"89,638 mi.","$26,425",Used,"Orange, TX"
1368,2020 RAM ProMaster City Tradesman,Good Deal,"83,160 mi.","$23,888
$4,112 price drop",Used,"Davis, CA"
1369,1996 GMC Jimmy Base,Great Deal,"160,655 mi.","$4,995",Used,"Milwaukie, OR"
1370,1999 Lexus ES 300 Base,Good Deal,"59,580 mi.","$9,990",Used,"Raleigh, NC"
1371,2019 BMW X4 xDrive30i,Good Deal,"30,310 mi.","$30,995
$2,000 price drop",Used,"Baton Rouge, LA"
1372,2022 RAM 3500 Tradesman Regular Cab 4x4 8' Box,Fair Deal,"19,506 mi.","$47,586",Used,"Orange, TX"
1373,2017 Bentley Mulsanne Base,Fair Deal,"29,242 mi.","$146,990",Used,"Rancho Mirage, CA"
1374,2015 Chevrolet Camaro 2LT,Good Deal,"85,208 mi.","$18,634",Used,"Quincy, IL"
1375,2007 Buick LaCrosse CXL,Great Deal,"165,390 mi.","$3,495",Used,"Tuscaloosa, AL"
1376,2023 GMC Yukon SLT,Great Deal,"32,188 mi.","$61,000",Used,"Albuquerque, NM"
1377,2013 Nissan 370Z,Good Deal,"52,200 mi.","$21,623",Used,"Triadelphia, WV"
1378,2023 Land Rover Defender 90 75th Edition,Fair Deal,"6,370 mi.","$94,400
$100 price drop",Used,"Shreveport, LA"
1379,2017 RAM ProMaster 3500 High Roof,Good Deal,"101,966 mi.","$24,987",Used,"Springfield, MA"
1380,2001 Ferrari 360 Spider F1,Fair Deal,"1,136 mi.","$169,900",Used,"Naples, FL"
1381,2013 Porsche Panamera Turbo S,Fair Deal,"80,867 mi.","$41,998",Used,"Parker, CO"
1382,2024 Audi A5 45 S line quattro Premium,Fair Deal,"1,068 mi.","$53,475",Used,"Beaumont, TX"
1383,2007 Volkswagen Rabbit Base,Great Deal,"128,000 mi.","$3,800",Used,"Lexington, SC"
1384,2005 Volvo V70 2.4,Fair Deal,"162,049 mi.","$5,756
$112 price drop",Used,"Fargo, ND"
1385,2020 BMW M340 i,Fair Deal,"52,201 mi.","$39,901",Used,"Knoxville, TN"
1386,2018 Volvo S60 Inscription T5,Great Deal,"54,394 mi.","$17,975",Used,"Tucson, AZ"
1387,2007 Lexus LS 460 Base,Great Deal,"145,499 mi.","$7,995",Used,"San Antonio, TX"
